,GO_ID,GO_term,GO_term_count
3559,GO:0007417,central nervous system development,12
4038,GO:0043410,positive regulation of MAPK cascade,12
1079,GO:0010629,negative regulation of gene expression,11
5632,GO:0018105,peptidyl-serine phosphorylation,11
5620,GO:0005516,calmodulin binding,11
5565,GO:0042734,presynaptic membrane,11
4827,GO:0000781,"chromosome, telomeric region",11
5206,GO:0045087,innate immune response,11
5330,GO:0042391,regulation of membrane potential,11
3959,GO:0005769,early endosome,11
4019,GO:0043235,receptor complex,10
7311,GO:0007623,circadian rhythm,10
6363,GO:0106310,protein serine kinase activity,10
3706,GO:0043687,post-translational protein modification,10
5852,GO:0005912,adherens junction,10
5926,GO:0003674,molecular_function,10
6369,GO:0106311,protein threonine kinase activity,10
5762,GO:0008017,microtubule binding,10
2605,GO:0030336,negative regulation of cell migration,10
2520,GO:0006954,inflammatory response,10
6452,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",10
8595,GO:0043065,positive regulation of apoptotic process,10
5284,GO:0098793,presynapse,10
5268,GO:0050804,modulation of chemical synaptic transmission,10
4602,GO:0001764,neuron migration,10
4668,GO:0035176,social behavior,10
5249,GO:0034765,regulation of ion transmembrane transport,10
6915,GO:0016477,cell migration,10
5131,GO:0061630,ubiquitin protein ligase activity,10
5505,GO:0006887,exocytosis,10
7527,GO:0007411,axon guidance,10
7493,GO:0001525,angiogenesis,10
1020,GO:0008217,regulation of blood pressure,10
6338,GO:0006897,endocytosis,10
861,GO:0070374,positive regulation of ERK1 and ERK2 cascade,9
1255,GO:0003779,actin binding,9
830,GO:0031901,early endosome membrane,9
778,GO:0007613,memory,9
5236,GO:0007269,neurotransmitter secretion,9
2164,GO:0044325,ion channel binding,9
9199,GO:0031982,vesicle,9
5026,GO:0000209,protein polyubiquitination,9
5910,GO:0001501,skeletal system development,9
1199,GO:0002576,platelet degranulation,9
4368,GO:0008013,beta-catenin binding,9
999,GO:0006508,proteolysis,9
4191,GO:0045121,membrane raft,9
4283,GO:0000976,transcription regulatory region sequence-specific DNA binding,9
4868,GO:0008022,protein C-terminus binding,9
3088,GO:0001540,amyloid-beta binding,9
3200,GO:0010008,endosome membrane,9
6254,GO:0005788,endoplasmic reticulum lumen,9
7758,GO:0007605,sensory perception of sound,9
3659,GO:0046982,protein heterodimerization activity,9
4051,GO:0061024,membrane organization,8
7273,GO:0001934,positive regulation of protein phosphorylation,8
4784,GO:0006511,ubiquitin-dependent protein catabolic process,8
5294,GO:0043204,perikaryon,8
207,GO:0045471,response to ethanol,8
6322,GO:0004672,protein kinase activity,8
3770,GO:0007267,cell-cell signaling,8
6003,GO:0003729,mRNA binding,8
3566,GO:0032355,response to estradiol,8
7742,GO:0005694,chromosome,8
2082,GO:0030335,positive regulation of cell migration,8
4509,GO:0005765,lysosomal membrane,8
8645,GO:0071805,potassium ion transmembrane transport,8
4617,GO:0007601,visual perception,8
481,GO:0055085,transmembrane transport,8
3254,GO:0005085,guanyl-nucleotide exchange factor activity,8
8542,GO:0000187,activation of MAPK activity,8
6331,GO:0006281,DNA repair,8
3944,GO:0099056,integral component of presynaptic membrane,8
5019,GO:0000086,G2/M transition of mitotic cell cycle,8
4357,GO:0006367,transcription initiation from RNA polymerase II promoter,8
6271,GO:0030198,extracellular matrix organization,8
7192,GO:0007611,learning or memory,8
6079,GO:0038023,signaling receptor activity,8
5048,GO:0016055,Wnt signaling pathway,8
3890,GO:0048786,presynaptic active zone,8
3152,GO:0008021,synaptic vesicle,8
3178,GO:0001650,fibrillar center,8
6607,GO:0045665,negative regulation of neuron differentiation,7
6071,GO:0030594,neurotransmitter receptor activity,7
2394,GO:0097110,scaffold protein binding,7
5491,GO:0034332,adherens junction organization,7
4417,GO:0051092,positive regulation of NF-kappaB transcription factor activity,7
9010,GO:0008150,biological_process,7
6123,GO:0055038,recycling endosome membrane,7
3874,GO:0043154,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,7
2627,GO:0005525,GTP binding,7
6976,GO:0050796,regulation of insulin secretion,7
448,GO:0016887,ATPase activity,7
818,GO:0019216,regulation of lipid metabolic process,7
3197,GO:0007264,small GTPase mediated signal transduction,7
6892,GO:0004888,transmembrane signaling receptor activity,7
5229,GO:0006816,calcium ion transport,7
6921,GO:0017124,SH3 domain binding,7
5112,GO:0050852,T cell receptor signaling pathway,7
6301,GO:0005743,mitochondrial inner membrane,7
5040,GO:0006470,protein dephosphorylation,7
829,GO:0030054,cell junction,7
979,GO:0005764,lysosome,7
2892,GO:0007166,cell surface receptor signaling pathway,7
7023,GO:0030426,growth cone,7
5383,GO:0045666,positive regulation of neuron differentiation,7
667,GO:0030667,secretory granule membrane,7
5319,GO:0035725,sodium ion transmembrane transport,7
6987,GO:0008076,voltage-gated potassium channel complex,7
4324,GO:0004879,nuclear receptor activity,7
6554,GO:0020037,heme binding,7
8743,GO:0006260,DNA replication,7
2375,GO:0007204,positive regulation of cytosolic calcium ion concentration,7
6469,GO:0051965,positive regulation of synapse assembly,7
5696,GO:0002250,adaptive immune response,7
2031,GO:0005911,cell-cell junction,7
7198,GO:0007612,learning,7
4238,GO:1902600,proton transmembrane transport,7
2226,GO:1990904,ribonucleoprotein complex,7
3834,GO:0035249,"synaptic transmission, glutamatergic",7
5892,GO:0098609,cell-cell adhesion,7
4076,GO:1904646,cellular response to amyloid-beta,7
4067,GO:0120162,positive regulation of cold-induced thermogenesis,7
4006,GO:0016579,protein deubiquitination,7
3731,GO:0001975,response to amphetamine,7
4793,GO:0010951,negative regulation of endopeptidase activity,6
3779,GO:0007596,blood coagulation,6
4810,GO:0051301,cell division,6
5275,GO:0070588,calcium ion transmembrane transport,6
6227,GO:0071222,cellular response to lipopolysaccharide,6
5590,GO:0000082,G1/S transition of mitotic cell cycle,6
5981,GO:0007010,cytoskeleton organization,6
6243,GO:0005201,extracellular matrix structural constituent,6
4844,GO:0002020,protease binding,6
8768,GO:0042393,histone binding,6
3086,GO:0048013,ephrin receptor signaling pathway,6
5676,GO:0098685,Schaffer collateral - CA1 synapse,6
7907,GO:0060078,regulation of postsynaptic membrane potential,6
5801,GO:0042110,T cell activation,6
5821,GO:0030307,positive regulation of cell growth,6
5807,GO:0050776,regulation of immune response,6
7803,GO:0051592,response to calcium ion,6
2994,GO:0042311,vasodilation,6
6008,GO:0010389,regulation of G2/M transition of mitotic cell cycle,6
6709,GO:0060090,molecular adaptor activity,6
7407,GO:0006406,mRNA export from nucleus,6
6715,GO:0072659,protein localization to plasma membrane,6
6033,GO:0097711,ciliary basal body-plasma membrane docking,6
4755,GO:0005802,trans-Golgi network,6
3159,GO:0010468,regulation of gene expression,6
3925,GO:0060079,excitatory postsynaptic potential,6
10102,GO:0017156,calcium-ion regulated exocytosis,6
5902,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,6
5667,GO:0060333,interferon-gamma-mediated signaling pathway,6
7349,GO:0051216,cartilage development,6
3933,GO:0099055,integral component of postsynaptic membrane,6
8191,GO:0043195,terminal bouton,6
45,GO:0005759,mitochondrial matrix,6
3886,GO:0044267,cellular protein metabolic process,6
6427,GO:0030027,lamellipodium,6
5075,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,6
3167,GO:0035264,multicellular organism growth,6
4886,GO:0030141,secretory granule,6
5858,GO:0000902,cell morphogenesis,6
4988,GO:0031225,anchored component of membrane,6
6855,GO:0030672,synaptic vesicle membrane,6
5223,GO:0005891,voltage-gated calcium channel complex,6
2070,GO:0016604,nuclear body,6
6180,GO:0005198,structural molecule activity,6
7517,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,6
6346,GO:0032922,circadian regulation of gene expression,6
6524,GO:0051897,positive regulation of protein kinase B signaling,6
6175,GO:0000278,mitotic cell cycle,6
5770,GO:0031122,cytoplasmic microtubule organization,6
2612,GO:0003924,GTPase activity,6
4611,GO:0001947,heart looping,6
6507,GO:0048167,regulation of synaptic plasticity,6
7233,GO:0005635,nuclear envelope,6
9611,GO:0031965,nuclear membrane,6
3500,GO:0005667,transcription regulator complex,6
5733,GO:0042102,positive regulation of T cell proliferation,6
1257,GO:0005178,integrin binding,6
5484,GO:0030165,PDZ domain binding,6
2095,GO:0031093,platelet alpha granule lumen,6
2066,GO:0015629,actin cytoskeleton,6
4657,GO:0034451,centriolar satellite,6
6194,GO:0006886,intracellular protein transport,6
9145,GO:0006366,transcription by RNA polymerase II,5
5876,GO:0016342,catenin complex,5
8291,GO:0042826,histone deacetylase binding,5
5872,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,5
6351,GO:0060070,canonical Wnt signaling pathway,5
6785,GO:0031410,cytoplasmic vesicle,5
5942,GO:0099560,synaptic membrane adhesion,5
8211,GO:0051966,"regulation of synaptic transmission, glutamatergic",5
6614,GO:0000165,MAPK cascade,5
779,GO:0008542,visual learning,5
5939,GO:0007416,synapse assembly,5
5650,GO:0046777,protein autophosphorylation,5
8698,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,5
8643,GO:0051260,protein homooligomerization,5
5627,GO:0016301,kinase activity,5
9161,GO:0007507,heart development,5
285,GO:0048148,behavioral response to cocaine,5
6592,GO:0098839,postsynaptic density membrane,5
6119,GO:0055037,recycling endosome,5
6103,GO:0050877,nervous system process,5
5162,GO:0008360,regulation of cell shape,5
6570,GO:0007216,G protein-coupled glutamate receptor signaling pathway,5
6640,GO:0005923,bicellular tight junction,5
6112,GO:0031902,late endosome membrane,5
6312,GO:0042593,glucose homeostasis,5
54,GO:0007568,aging,5
5643,GO:0030666,endocytic vesicle membrane,5
5868,GO:0007043,cell-cell junction assembly,5
8630,GO:0006813,potassium ion transport,5
8336,GO:0042605,peptide antigen binding,5
6671,GO:0031594,neuromuscular junction,5
6454,GO:0043565,sequence-specific DNA binding,5
6682,GO:0042130,negative regulation of T cell proliferation,5
8507,GO:0019221,cytokine-mediated signaling pathway,5
6489,GO:0016525,negative regulation of angiogenesis,5
5305,GO:0061337,cardiac conduction,5
5842,GO:0070555,response to interleukin-1,5
8316,GO:0012507,ER to Golgi transport vesicle membrane,5
5815,GO:0010977,negative regulation of neuron projection development,5
5356,GO:0086091,regulation of heart rate by cardiac conduction,5
5371,GO:0150104,transport across blood-brain barrier,5
5376,GO:0007050,cell cycle arrest,5
8625,GO:0005249,voltage-gated potassium channel activity,5
6393,GO:0018107,peptidyl-threonine phosphorylation,5
5960,GO:0009952,anterior/posterior pattern specification,5
6406,GO:0045732,positive regulation of protein catabolic process,5
6643,GO:0007015,actin filament organization,5
6253,GO:0005604,basement membrane,5
5218,GO:0005245,voltage-gated calcium channel activity,5
5985,GO:0016192,vesicle-mediated transport,5
6502,GO:0045766,positive regulation of angiogenesis,5
8341,GO:0071556,integral component of lumenal side of endoplasmic reticulum membrane,5
6950,GO:0001662,behavioral fear response,5
5067,GO:0042752,regulation of circadian rhythm,5
4692,GO:0045494,photoreceptor cell maintenance,5
3735,GO:0005882,intermediate filament,5
7032,GO:0048666,neuron development,5
7018,GO:0010976,positive regulation of neuron projection development,5
2351,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,5
9493,GO:0010595,positive regulation of endothelial cell migration,5
2502,GO:0016310,phosphorylation,5
8046,GO:0005796,Golgi lumen,5
7808,GO:0065003,protein-containing complex assembly,5
7040,GO:0048678,response to axon injury,5
2674,GO:0005814,centriole,5
7470,GO:1905606,regulation of presynapse assembly,5
2681,GO:0036064,ciliary basal body,5
4798,GO:0030496,midbody,5
4803,GO:0042127,regulation of cell population proliferation,5
990,GO:0005768,endosome,5
2592,GO:0009611,response to wounding,5
2651,GO:0000287,magnesium ion binding,5
2322,GO:0005929,cilium,5
7974,GO:0001649,osteoblast differentiation,5
4182,GO:0042383,sarcolemma,5
7184,GO:2000300,regulation of synaptic vesicle exocytosis,5
2151,GO:0042981,regulation of apoptotic process,5
4443,GO:0001917,photoreceptor inner segment,5
4203,GO:0051087,chaperone binding,5
7216,GO:0045177,apical part of cell,5
9833,GO:0014047,glutamate secretion,5
1210,GO:0003713,transcription coactivator activity,5
3930,GO:0060134,prepulse inhibition,5
4552,GO:0001916,positive regulation of T cell mediated cytotoxicity,5
7881,GO:0032869,cellular response to insulin stimulus,5
3880,GO:0043524,negative regulation of neuron apoptotic process,5
7114,GO:0042220,response to cocaine,5
1013,GO:0008144,drug binding,5
3974,GO:0006898,receptor-mediated endocytosis,5
7088,GO:0009636,response to toxic substance,5
3173,GO:0051056,regulation of small GTPase mediated signal transduction,5
3188,GO:0005938,cell cortex,5
10371,GO:0017075,syntaxin-1 binding,5
3295,GO:0090630,activation of GTPase activity,5
6868,GO:0007018,microtubule-based movement,5
8162,GO:0006811,ion transport,5
4978,GO:0030890,positive regulation of B cell proliferation,5
7598,GO:0051091,positive regulation of DNA-binding transcription factor activity,5
6881,GO:0003777,microtubule motor activity,5
4916,GO:0003712,transcription coregulator activity,5
7545,GO:0033674,positive regulation of kinase activity,5
3168,GO:0021987,cerebral cortex development,5
9330,GO:0006936,muscle contraction,5
6854,GO:0005575,cellular_component,5
2980,GO:0035815,positive regulation of renal sodium excretion,5
8136,GO:0010975,regulation of neuron projection development,5
2695,GO:1904115,axon cytoplasm,5
7707,GO:0006629,lipid metabolic process,5
8132,GO:0008066,glutamate receptor activity,5
3101,GO:0001701,in utero embryonic development,5
4890,GO:0043015,gamma-tubulin binding,5
7560,GO:0098794,postsynapse,5
7286,GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",4
7917,GO:0005622,intracellular anatomical structure,4
4097,GO:0016311,dephosphorylation,4
4089,GO:0005901,caveola,4
6132,GO:1902476,chloride transmembrane transport,4
8571,GO:0030168,platelet activation,4
7322,GO:0035690,cellular response to drug,4
7893,GO:0046627,negative regulation of insulin receptor signaling pathway,4
3977,GO:0009409,response to cold,4
3982,GO:0015459,potassium channel regulator activity,4
2167,GO:0047485,protein N-terminus binding,4
7299,GO:0048188,Set1C/COMPASS complex,4
4055,GO:0071880,adenylate cyclase-activating adrenergic receptor signaling pathway,4
5837,GO:0060292,long-term synaptic depression,4
7255,GO:0004725,protein tyrosine phosphatase activity,4
4187,GO:0042470,melanosome,4
4214,GO:0071260,cellular response to mechanical stimulus,4
7654,GO:0008283,cell population proliferation,4
6275,GO:0031012,extracellular matrix,4
7948,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,4
4177,GO:0036126,sperm flagellum,4
7921,GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,4
7955,GO:0016266,O-glycan processing,4
6304,GO:0006635,fatty acid beta-oxidation,4
7626,GO:0000145,exocyst,4
5713,GO:0030183,B cell differentiation,4
7643,GO:0006024,glycosaminoglycan biosynthetic process,4
2075,GO:0030018,Z disc,4
5787,GO:0032839,dendrite cytoplasm,4
7926,GO:0038083,peptidyl-tyrosine autophosphorylation,4
7260,GO:0035335,peptidyl-tyrosine dephosphorylation,4
2100,GO:0031490,chromatin DNA binding,4
4115,GO:0016328,lateral plasma membrane,4
3955,GO:0002028,regulation of sodium ion transport,4
6471,GO:0071310,cellular response to organic substance,4
7245,GO:0042060,wound healing,4
5774,GO:0043621,protein self-association,4
5778,GO:0051959,dynein light intermediate chain binding,4
7732,GO:0045171,intercellular bridge,4
7507,GO:0004713,protein tyrosine kinase activity,4
2857,GO:0045652,regulation of megakaryocyte differentiation,4
7414,GO:0006417,regulation of translation,4
7416,GO:0010494,cytoplasmic stress granule,4
8548,GO:0007265,Ras protein signal transduction,4
6040,GO:0006338,chromatin remodeling,4
8729,GO:0048015,phosphatidylinositol-mediated signaling,4
7796,GO:0050839,cell adhesion molecule binding,4
6183,GO:0005770,late endosome,4
3741,GO:0006469,negative regulation of protein kinase activity,4
7214,GO:0042995,cell projection,4
7533,GO:0018108,peptidyl-tyrosine phosphorylation,4
6034,GO:0003678,DNA helicase activity,4
6143,GO:0008203,cholesterol metabolic process,4
10284,GO:0098656,anion transmembrane transport,4
7763,GO:0019903,protein phosphatase binding,4
10330,GO:0006836,neurotransmitter transport,4
6142,GO:0007628,adult walking behavior,4
2566,GO:0008016,regulation of heart contraction,4
7437,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",4
7483,GO:0030182,neuron differentiation,4
7783,GO:0007160,cell-matrix adhesion,4
8753,GO:0050806,positive regulation of synaptic transmission,4
8822,GO:0009887,animal organ morphogenesis,4
3904,GO:0050728,negative regulation of inflammatory response,4
3903,GO:0050714,positive regulation of protein secretion,4
6434,GO:0005881,cytoplasmic microtubule,4
5920,GO:0043679,axon terminus,4
7738,GO:0000151,ubiquitin ligase complex,4
10151,GO:1903861,positive regulation of dendrite extension,4
6188,GO:0005905,clathrin-coated pit,4
3920,GO:0051968,"positive regulation of synaptic transmission, glutamatergic",4
3916,GO:0051924,regulation of calcium ion transport,4
7829,GO:0031625,ubiquitin protein ligase binding,4
3758,GO:0006968,cellular defense response,4
2360,GO:0007191,adenylate cyclase-activating dopamine receptor signaling pathway,4
7387,GO:0007517,muscle organ development,4
8810,GO:0008201,heparin binding,4
2359,GO:0007190,activation of adenylate cyclase activity,4
6410,GO:0051726,regulation of cell cycle,4
3001,GO:0043537,negative regulation of blood vessel endothelial cell migration,4
6701,GO:0051898,negative regulation of protein kinase B signaling,4
8081,GO:0004601,peroxidase activity,4
7005,GO:0050660,flavin adenine dinucleotide binding,4
8323,GO:0030658,transport vesicle membrane,4
5365,GO:0045907,positive regulation of vasoconstriction,4
4691,GO:0045444,fat cell differentiation,4
4654,GO:0032465,regulation of cytokinesis,4
4540,GO:0030670,phagocytic vesicle membrane,4
895,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,4
9450,GO:0048488,synaptic vesicle endocytosis,4
5315,GO:0019228,neuronal action potential,4
4726,GO:0097730,non-motile cilium,4
4714,GO:0060271,cilium assembly,4
5390,GO:0071300,cellular response to retinoic acid,4
4592,GO:0001750,photoreceptor outer segment,4
7055,GO:0001933,negative regulation of protein phosphorylation,4
7066,GO:0006914,autophagy,4
9028,GO:0030514,negative regulation of BMP signaling pathway,4
4562,GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",4
359,GO:0006869,lipid transport,4
9560,GO:0019900,kinase binding,4
768,GO:0006909,phagocytosis,4
5397,GO:0016529,sarcoplasmic reticulum,4
4639,GO:0021766,hippocampus development,4
4628,GO:0007608,sensory perception of smell,4
6962,GO:0030139,endocytic vesicle,4
4993,GO:0035579,specific granule membrane,4
5033,GO:0002223,stimulatory C-type lectin receptor signaling pathway,4
5007,GO:0061809,"NAD+ nucleotidase, cyclic ADP-ribose generating",4
6838,GO:0042472,inner ear morphogenesis,4
4999,GO:0050135,NAD(P)+ nucleosidase activity,4
6764,GO:0007219,Notch signaling pathway,4
5054,GO:0031648,protein destabilization,4
847,GO:0034504,protein localization to nucleus,4
6812,GO:0048839,inner ear development,4
8206,GO:0050808,synapse organization,4
8249,GO:0000118,histone deacetylase complex,4
5101,GO:0046983,protein dimerization activity,4
6845,GO:0060021,roof of mouth development,4
9113,GO:0048538,thymus development,4
4918,GO:0006974,cellular response to DNA damage stimulus,4
4875,GO:0010332,response to gamma radiation,4
8300,GO:0048661,positive regulation of smooth muscle cell proliferation,4
8120,GO:0098869,cellular oxidant detoxification,4
5269,GO:0070509,calcium ion import,4
4791,GO:0007049,cell cycle,4
4949,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,4
4955,GO:0050727,regulation of inflammatory response,4
9299,GO:0006979,response to oxidative stress,4
210,GO:0045776,negative regulation of blood pressure,4
4392,GO:0030522,intracellular receptor signaling pathway,4
5551,GO:0016082,synaptic vesicle priming,4
4348,GO:0005496,steroid binding,4
8921,GO:0030073,insulin secretion,4
8020,GO:0035116,embryonic hindlimb morphogenesis,4
9811,GO:0042162,telomeric DNA binding,4
1108,GO:0060047,heart contraction,4
78,GO:0021549,cerebellum development,4
7157,GO:0051967,"negative regulation of synaptic transmission, glutamatergic",4
7986,GO:0006749,glutathione metabolic process,4
91,GO:0035094,response to nicotine,4
4439,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,4
4472,GO:0032809,neuronal cell body membrane,4
8032,GO:0045669,positive regulation of osteoblast differentiation,4
5681,GO:1900034,regulation of cellular response to heat,4
7092,GO:0014059,regulation of dopamine secretion,4
7640,GO:0002062,chondrocyte differentiation,3
7629,GO:0000149,SNARE binding,3
7667,GO:0030176,integral component of endoplasmic reticulum membrane,3
8387,GO:0042612,MHC class I protein complex,3
6735,GO:1903078,positive regulation of protein localization to plasma membrane,3
7164,GO:0060158,phospholipase C-activating dopamine receptor signaling pathway,3
7632,GO:0006893,Golgi to plasma membrane transport,3
8146,GO:0035235,ionotropic glutamate receptor signaling pathway,3
7489,GO:1990403,embryonic brain development,3
6476,GO:2000463,positive regulation of excitatory postsynaptic potential,3
7508,GO:0004714,transmembrane receptor protein tyrosine kinase activity,3
6872,GO:0008569,"ATP-dependent microtubule motor activity, minus-end-directed",3
8464,GO:0044305,calyx of Held,3
6873,GO:0030286,dynein complex,3
6876,GO:0045505,dynein intermediate chain binding,3
7530,GO:0007413,axonal fasciculation,3
8140,GO:0015276,ligand-gated ion channel activity,3
7486,GO:0030901,midbrain development,3
6943,GO:0008239,dipeptidyl-peptidase activity,3
8553,GO:0070371,ERK1 and ERK2 cascade,3
7477,GO:0000398,"mRNA splicing, via spliceosome",3
7149,GO:0051482,positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway,3
8115,GO:0090201,negative regulation of release of cytochrome c from mitochondria,3
7148,GO:0051481,negative regulation of cytosolic calcium ion concentration,3
7256,GO:0007179,transforming growth factor beta receptor signaling pathway,3
7963,GO:0030728,ovulation,3
7209,GO:0040014,regulation of multicellular organism growth,3
8382,GO:0042270,protection from natural killer cell mediated cytotoxicity,3
7635,GO:0006904,vesicle docking involved in exocytosis,3
7154,GO:0051584,regulation of dopamine uptake involved in synaptic transmission,3
8127,GO:0007215,glutamate receptor signaling pathway,3
8305,GO:0071356,cellular response to tumor necrosis factor,3
8275,GO:0017053,transcription repressor complex,3
8394,GO:0060337,type I interferon signaling pathway,3
8255,GO:0002076,osteoblast development,3
7591,GO:0003707,steroid hormone receptor activity,3
6769,GO:0009954,proximal/distal pattern formation,3
6579,GO:0032590,dendrite membrane,3
7237,GO:0015630,microtubule cytoskeleton,3
7204,GO:0031748,D1 dopamine receptor binding,3
7700,GO:0006006,glucose metabolic process,3
6515,GO:0050769,positive regulation of neurogenesis,3
8196,GO:0098686,hippocampal mossy fiber to CA3 synapse,3
6828,GO:0097150,neuronal stem cell population maintenance,3
7188,GO:0006874,cellular calcium ion homeostasis,3
6574,GO:0019369,arachidonic acid metabolic process,3
6754,GO:0001756,somitogenesis,3
6526,GO:0060074,synapse maturation,3
8559,GO:0005637,nuclear inner membrane,3
8471,GO:0051378,serotonin binding,3
7544,GO:0031915,positive regulation of synaptic plasticity,3
7169,GO:0060548,negative regulation of cell death,3
8274,GO:0016925,protein sumoylation,3
6760,GO:0005112,Notch binding,3
8489,GO:0032414,positive regulation of ion transmembrane transporter activity,3
7455,GO:0033138,positive regulation of peptidyl-serine phosphorylation,3
6657,GO:0009790,embryo development,3
6399,GO:0030177,positive regulation of Wnt signaling pathway,3
