,GO_ID,GO_term,GO_term_count
2593,GO:0042470,melanosome,4
762,GO:0030054,cell junction,4
1687,GO:0005912,adherens junction,4
1463,GO:0005856,cytoskeleton,4
2207,GO:0006874,cellular calcium ion homeostasis,4
2641,GO:0005911,cell-cell junction,4
1111,GO:0005525,GTP binding,4
540,GO:0042166,acetylcholine binding,4
5892,GO:0070579,methylcytosine dioxygenase activity,4
1021,GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,4
804,GO:0043278,response to morphine,4
1799,GO:0035924,cellular response to vascular endothelial growth factor stimulus,4
1500,GO:0015459,potassium channel regulator activity,4
2481,GO:0097110,scaffold protein binding,4
2451,GO:0035725,sodium ion transmembrane transport,4
5870,GO:0070187,shelterin complex,4
1506,GO:0033138,positive regulation of peptidyl-serine phosphorylation,4
2273,GO:0004930,G protein-coupled receptor activity,4
2211,GO:0007605,sensory perception of sound,4
2559,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,4
2254,GO:0098982,GABA-ergic synapse,4
1699,GO:0006909,phagocytosis,4
1908,GO:0006355,"regulation of transcription, DNA-templated",4
467,GO:0007416,synapse assembly,4
1369,GO:0045652,regulation of megakaryocyte differentiation,4
1318,GO:0007223,"Wnt signaling pathway, calcium modulating pathway",4
1966,GO:0030308,negative regulation of cell growth,4
1852,GO:0098609,cell-cell adhesion,4
5900,GO:0045329,carnitine biosynthetic process,4
2796,GO:0051497,negative regulation of stress fiber assembly,4
1325,GO:0010501,RNA secondary structure unwinding,4
1944,GO:0010976,positive regulation of neuron projection development,4
1924,GO:0007050,cell cycle arrest,3
2274,GO:0005000,vasopressin receptor activity,3
3618,GO:1903078,positive regulation of protein localization to plasma membrane,3
5601,GO:0008504,monoamine transmembrane transporter activity,3
3706,GO:0001501,skeletal system development,3
4328,GO:0016407,acetyltransferase activity,3
3363,GO:0050775,positive regulation of dendrite morphogenesis,3
2232,GO:0051480,regulation of cytosolic calcium ion concentration,3
5548,GO:0006337,nucleosome disassembly,3
4557,GO:0006898,receptor-mediated endocytosis,3
1311,GO:0003725,double-stranded RNA binding,3
4561,GO:0008283,cell population proliferation,3
1314,GO:0003727,single-stranded RNA binding,3
3804,GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",3
2259,GO:0099566,regulation of postsynaptic cytosolic calcium ion concentration,3
4566,GO:0010942,positive regulation of cell death,3
4375,GO:0016605,PML body,3
2277,GO:0005080,protein kinase C binding,3
2345,GO:0004386,helicase activity,3
4116,GO:0060291,long-term synaptic potentiation,3
2342,GO:0003712,transcription coregulator activity,3
1511,GO:0034237,protein kinase A regulatory subunit binding,3
3668,GO:0009055,electron transfer activity,3
1360,GO:0035278,miRNA mediated inhibition of translation,3
5858,GO:0032210,regulation of telomere maintenance via telomerase,3
1505,GO:0031116,positive regulation of microtubule polymerization,3
5860,GO:0032211,negative regulation of telomere maintenance via telomerase,3
2346,GO:0008094,DNA-dependent ATPase activity,3
3837,GO:0097112,gamma-aminobutyric acid receptor clustering,3
808,GO:0046103,inosine biosynthetic process,3
1354,GO:0035194,post-transcriptional gene silencing by RNA,3
2371,GO:0005245,voltage-gated calcium channel activity,3
4134,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,3
2306,GO:0019722,calcium-mediated signaling,3
4591,GO:0038024,cargo receptor activity,3
3692,GO:0032088,negative regulation of NF-kappaB transcription factor activity,3
4585,GO:0032956,regulation of actin cytoskeleton organization,3
4150,GO:0006283,transcription-coupled nucleotide-excision repair,3
817,GO:0050850,positive regulation of calcium-mediated signaling,3
3295,GO:0008013,beta-catenin binding,3
1764,GO:0031532,actin cytoskeleton reorganization,3
5291,GO:0031647,regulation of protein stability,3
1767,GO:0031901,early endosome membrane,3
3604,GO:0007596,blood coagulation,3
3733,GO:0030198,extracellular matrix organization,3
3489,GO:0005575,cellular_component,3
3740,GO:0033627,cell adhesion mediated by integrin,3
4425,GO:0050681,androgen receptor binding,3
4420,GO:0032454,histone demethylase activity (H3-K9 specific),3
3507,GO:0031929,TOR signaling,3
3486,GO:0003729,mRNA binding,3
5654,GO:0089718,amino acid import across plasma membrane,3
1025,GO:0007338,single fertilization,3
4203,GO:0030168,platelet activation,3
4206,GO:0030949,positive regulation of vascular endothelial growth factor receptor signaling pathway,3
4441,GO:0003007,heart morphogenesis,3
4412,GO:0071805,potassium ion transmembrane transport,3
3760,GO:0060078,regulation of postsynaptic membrane potential,3
3561,GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity,3
1810,GO:0043434,response to peptide hormone,3
3560,GO:0043113,receptor clustering,3
2056,GO:0001656,metanephros development,3
3546,GO:0008328,ionotropic glutamate receptor complex,3
4380,GO:0030099,myeloid cell differentiation,3
2073,GO:0007220,Notch receptor processing,3
4402,GO:0005249,voltage-gated potassium channel activity,3
3521,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,3
3727,GO:0007507,heart development,3
4241,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,3
1217,GO:0042177,negative regulation of protein catabolic process,3
5385,GO:0005743,mitochondrial inner membrane,3
1624,GO:0004047,aminomethyltransferase activity,3
3785,GO:0016266,O-glycan processing,3
5330,GO:0070534,protein K63-linked ubiquitination,3
4511,GO:0005606,laminin-1 complex,3
1780,GO:0032743,positive regulation of interleukin-2 production,3
5434,GO:0004064,arylesterase activity,3
3417,GO:0031641,regulation of myelination,3
2131,GO:0048589,developmental growth,3
2183,GO:0000287,magnesium ion binding,3
2139,GO:0090263,positive regulation of canonical Wnt signaling pathway,3
3591,GO:0030154,cell differentiation,3
4466,GO:0001558,regulation of cell growth,3
4185,GO:0002020,protease binding,3
3440,GO:0044295,axonal growth cone,3
5381,GO:0004657,proline dehydrogenase activity,3
1207,GO:0030036,actin cytoskeleton organization,3
4487,GO:0030334,regulation of cell migration,3
4353,GO:0043966,histone H3 acetylation,3
3588,GO:0003700,DNA-binding transcription factor activity,3
3424,GO:0032869,cellular response to insulin stimulus,3
618,GO:0001890,placenta development,3
1559,GO:0098962,regulation of postsynaptic neurotransmitter receptor activity,3
616,GO:0001889,liver development,3
155,GO:0005518,collagen binding,3
2673,GO:0031032,actomyosin structure organization,3
2670,GO:0018107,peptidyl-threonine phosphorylation,3
5151,GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding",3
2792,GO:0016459,myosin complex,3
611,GO:0001666,response to hypoxia,3
4896,GO:0017053,transcription repressor complex,3
5007,GO:0035255,ionotropic glutamate receptor binding,3
4034,GO:0006493,protein O-linked glycosylation,3
2975,GO:0000776,kinetochore,3
3964,GO:0017134,fibroblast growth factor binding,3
1684,GO:0005884,actin filament,3
1539,GO:0061337,cardiac conduction,3
608,GO:0120162,positive regulation of cold-induced thermogenesis,3
5160,GO:0046330,positive regulation of JNK cascade,3
3069,GO:0007413,axonal fasciculation,3
4816,GO:0006887,exocytosis,3
4814,GO:0005903,brush border,3
726,GO:0006154,adenosine catabolic process,3
2851,GO:0006811,ion transport,3
530,GO:0031594,neuromuscular junction,3
2597,GO:0044297,cell body,3
1527,GO:0051661,maintenance of centrosome location,3
5186,GO:0050772,positive regulation of axonogenesis,3
4831,GO:0030898,actin-dependent ATPase activity,3
3920,GO:0048169,regulation of long-term neuronal synaptic plasticity,3
5517,GO:0016604,nuclear body,3
4838,GO:0035904,aorta development,3
3025,GO:0051294,establishment of spindle orientation,3
2759,GO:0048661,positive regulation of smooth muscle cell proliferation,3
4958,GO:0097104,postsynaptic membrane assembly,3
5810,GO:0016251,RNA polymerase II general transcription initiation factor activity,3
2893,GO:0042113,B cell activation,3
4045,GO:0001975,response to amphetamine,3
4950,GO:0051968,"positive regulation of synaptic transmission, glutamatergic",3
5767,GO:0042147,"retrograde transport, endosome to Golgi",3
1656,GO:0002250,adaptive immune response,3
2745,GO:0030032,lamellipodium assembly,3
535,GO:0031623,receptor internalization,3
3952,GO:0005007,fibroblast growth factor-activated receptor activity,3
4981,GO:2000311,regulation of AMPA receptor activity,3
2911,GO:0050890,cognition,3
4992,GO:0002039,p53 binding,3
537,GO:0042136,neurotransmitter biosynthetic process,3
603,GO:0060041,retina development in camera-type eye,3
561,GO:0043083,synaptic cleft,3
1544,GO:0086091,regulation of heart rate by cardiac conduction,3
599,GO:0050714,positive regulation of protein secretion,3
2879,GO:0030673,axolemma,3
4907,GO:0046329,negative regulation of JNK cascade,3
4940,GO:0048488,synaptic vesicle endocytosis,3
3947,GO:0004713,protein tyrosine kinase activity,3
5134,GO:1903508,positive regulation of nucleic acid-templated transcription,3
3169,GO:0099054,presynapse assembly,3
2438,GO:0019228,neuronal action potential,3
3884,GO:0055037,recycling endosome,3
3176,GO:0045747,positive regulation of Notch signaling pathway,3
5786,GO:0006486,protein glycosylation,3
5843,GO:0016233,telomere capping,3
5933,GO:0004197,cysteine-type endopeptidase activity,3
2428,GO:0005248,voltage-gated sodium channel activity,3
1705,GO:0006954,inflammatory response,3
4078,GO:0022849,glutamate-gated calcium ion channel activity,3
1706,GO:0007166,cell surface receptor signaling pathway,3
4731,GO:0031931,TORC1 complex,3
2850,GO:0005892,acetylcholine-gated channel complex,3
1591,GO:1903358,regulation of Golgi organization,3
773,GO:0042110,T cell activation,3
3161,GO:0048167,regulation of synaptic plasticity,3
5237,GO:0051092,positive regulation of NF-kappaB transcription factor activity,3
5263,GO:0000422,autophagy of mitochondrion,3
4671,GO:2001028,positive regulation of endothelial cell chemotaxis,3
2398,GO:0051928,positive regulation of calcium ion transport,3
4099,GO:1904646,cellular response to amyloid-beta,3
5854,GO:0032208,negative regulation of telomere maintenance via recombination,3
2807,GO:0006508,proteolysis,3
5065,GO:0005506,iron ion binding,3
3992,GO:0043536,positive regulation of blood vessel endothelial cell migration,3
5851,GO:0031848,protection from non-homologous end joining at telomere,3
4090,GO:0097553,calcium ion transmembrane import into cytosol,3
1709,GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",3
5839,GO:0003691,double-stranded telomeric DNA binding,3
5215,GO:0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,3
3118,GO:0051966,"regulation of synaptic transmission, glutamatergic",3
5716,GO:0060395,SMAD protein signal transduction,3
5218,GO:0090090,negative regulation of canonical Wnt signaling pathway,3
5037,GO:0005902,microvillus,3
2586,GO:0006457,protein folding,3
3106,GO:0045121,membrane raft,3
3907,GO:0015277,kainate selective glutamate receptor activity,3
5211,GO:0006606,protein import into nucleus,3
2579,GO:0005832,chaperonin-containing T-complex,3
3904,GO:0007215,glutamate receptor signaling pathway,3
5034,GO:0071108,protein K48-linked deubiquitination,3
4744,GO:0042752,regulation of circadian rhythm,3
4740,GO:0038202,TORC1 signaling,3
5192,GO:0030215,semaphorin receptor binding,3
2533,GO:0001650,fibrillar center,3
2529,GO:0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",3
4276,GO:0010614,negative regulation of cardiac muscle hypertrophy,2
1588,GO:1901018,positive regulation of potassium ion transmembrane transporter activity,2
4254,GO:0050919,negative chemotaxis,2
1358,GO:0035198,miRNA binding,2
1396,GO:0070578,RISC-loading complex,2
1362,GO:0035279,mRNA cleavage involved in gene silencing by miRNA,2
1398,GO:0090625,mRNA cleavage involved in gene silencing by siRNA,2
5947,GO:1990380,Lys48-specific deubiquitinase activity,2
4011,GO:0048705,skeletal system morphogenesis,2
4007,GO:0048015,phosphatidylinositol-mediated signaling,2
5477,GO:0005643,nuclear pore,2
4249,GO:0050840,extracellular matrix binding,2
5481,GO:0005802,trans-Golgi network,2
5939,GO:0035616,histone H2B conserved C-terminal lysine deubiquitination,2
1400,GO:1901224,positive regulation of NIK/NF-kappaB signaling,2
5938,GO:0035520,monoubiquitinated protein deubiquitination,2
5483,GO:0008380,RNA splicing,2
5489,GO:0003148,outflow tract septum morphogenesis,2
4251,GO:0050900,leukocyte migration,2
1365,GO:0035280,miRNA loading onto RISC involved in gene silencing by miRNA,2
4109,GO:0030431,sleep,2
5474,GO:0090630,activation of GTPase activity,2
4163,GO:0006836,neurotransmitter transport,2
1468,GO:0007020,microtubule nucleation,2
5445,GO:0034364,high-density lipoprotein particle,2
4155,GO:0031492,nucleosomal DNA binding,2
4157,GO:0032786,"positive regulation of DNA-templated transcription, elongation",2
1524,GO:0044325,ion channel binding,2
5439,GO:0009636,response to toxic substance,2
1446,GO:0005801,cis-Golgi network,2
1444,GO:0005795,Golgi stack,2
4177,GO:0032039,integrator complex,2
4180,GO:0042795,snRNA transcription by RNA polymerase II,2
5466,GO:0006886,intracellular protein transport,2
4138,GO:0045732,positive regulation of protein catabolic process,2
4081,GO:0048814,regulation of dendrite morphogenesis,2
4107,GO:0022008,neurogenesis,2
4112,GO:0042417,dopamine metabolic process,2
5457,GO:0003690,double-stranded DNA binding,2
4104,GO:0001964,startle response,2
1356,GO:0035196,production of miRNAs involved in gene silencing by miRNA,2
4120,GO:0035259,glucocorticoid receptor binding,2
4097,GO:1903539,protein localization to postsynaptic membrane,2
4094,GO:0098976,excitatory chemical synaptic transmission,2
4088,GO:0060134,prepulse inhibition,2
4084,GO:0050770,regulation of axonogenesis,2
5942,GO:0046332,SMAD binding,2
1536,GO:0060307,regulation of ventricular cardiac muscle cell membrane repolarization,2
4183,GO:0001968,fibronectin binding,2
5424,GO:0070373,negative regulation of ERK1 and ERK2 cascade,2
5422,GO:0050847,progesterone receptor signaling pathway,2
1408,GO:0008584,male gonad development,2
1403,GO:1990904,ribonucleoprotein complex,2
4230,GO:0042060,wound healing,2
4232,GO:0043184,vascular endothelial growth factor receptor 2 binding,2
4234,GO:0043277,apoptotic cell clearance,2
4237,GO:0046718,viral entry into host cell,2
4239,GO:0048333,mesodermal cell differentiation,2
4044,GO:0001967,suckling behavior,2
4212,GO:0031528,microvillus membrane,2
4064,GO:0016594,glycine binding,2
4062,GO:0010524,positive regulation of calcium ion transport into cytosol,2
5433,GO:0004063,aryldialkylphosphatase activity,2
4191,GO:0007160,cell-matrix adhesion,2
4060,GO:0008344,adult locomotory behavior,2
4193,GO:0008305,integrin complex,2
4058,GO:0006812,cation transport,2
4195,GO:0010595,positive regulation of endothelial cell migration,2
4200,GO:0015026,coreceptor activity,2
5792,GO:0009311,oligosaccharide metabolic process,2
4724,GO:0031397,negative regulation of protein ubiquitination,2
5228,GO:0030374,nuclear receptor coactivator activity,2
4733,GO:0031932,TORC2 complex,2
4727,GO:0031667,response to nutrient levels,2
798,GO:0043101,purine-containing compound salvage,2
769,GO:0032839,dendrite cytoplasm,2
4713,GO:0016310,phosphorylation,2
4711,GO:0016301,kinase activity,2
4709,GO:0016242,negative regulation of macroautophagy,2
5980,GO:2000392,regulation of lamellipodium morphogenesis,2
4753,GO:0045335,phagocytic vesicle,2
4706,GO:0016241,regulation of macroautophagy,2
5201,GO:0030041,actin filament polymerization,2
5983,GO:2000394,positive regulation of lamellipodium morphogenesis,2
760,GO:0010460,positive regulation of heart rate,2
