,GO_ID,GO_term,GO_term_count
5257,GO:0030534,adult behavior,8
4045,GO:0008017,microtubule binding,8
4260,GO:0006974,cellular response to DNA damage stimulus,8
2828,GO:0000976,transcription regulatory region sequence-specific DNA binding,8
3934,GO:0071625,vocalization behavior,8
4814,GO:0003712,transcription coregulator activity,8
2680,GO:0042734,presynaptic membrane,8
2654,GO:0007155,cell adhesion,8
5212,GO:0051968,"positive regulation of synaptic transmission, glutamatergic",8
4988,GO:0050839,cell adhesion molecule binding,8
618,GO:0043524,negative regulation of neuron apoptotic process,8
1184,GO:0005783,endoplasmic reticulum,8
2015,GO:0006338,chromatin remodeling,8
2075,GO:0042393,histone binding,8
1282,GO:0045296,cadherin binding,8
4405,GO:0021987,cerebral cortex development,7
2515,GO:0034765,regulation of ion transmembrane transport,7
4554,GO:0030496,midbody,7
1134,GO:0050821,protein stabilization,7
4813,GO:0000118,histone deacetylase complex,7
2331,GO:0048156,tau protein binding,7
1427,GO:0035264,multicellular organism growth,7
2116,GO:0030426,growth cone,7
3232,GO:0042803,protein homodimerization activity,7
2459,GO:0043204,perikaryon,7
4536,GO:0005525,GTP binding,7
3098,GO:0006367,transcription initiation from RNA polymerase II promoter,7
2304,GO:0018105,peptidyl-serine phosphorylation,7
4297,GO:0042995,cell projection,7
2817,GO:0006325,chromatin organization,7
877,GO:0009791,post-embryonic development,7
2761,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",7
4978,GO:0047485,protein N-terminus binding,7
2722,GO:0043547,positive regulation of GTPase activity,7
2790,GO:1990904,ribonucleoprotein complex,7
2404,GO:0007507,heart development,7
549,GO:0010468,regulation of gene expression,7
4461,GO:1902476,chloride transmembrane transport,7
5196,GO:0007158,neuron cell-cell adhesion,7
2073,GO:0035064,methylated histone binding,7
2604,GO:0030027,lamellipodium,7
861,GO:0007417,central nervous system development,7
1759,GO:0042800,histone methyltransferase activity (H3-K4 specific),7
649,GO:0001666,response to hypoxia,7
2268,GO:0106310,protein serine kinase activity,7
2275,GO:0106311,protein threonine kinase activity,7
2051,GO:0016605,PML body,7
1510,GO:0043044,ATP-dependent chromatin remodeling,6
6055,GO:0032007,negative regulation of TOR signaling,6
4799,GO:0071805,potassium ion transmembrane transport,6
3426,GO:0032355,response to estradiol,6
2595,GO:0017148,negative regulation of translation,6
3907,GO:0044877,protein-containing complex binding,6
3439,GO:0035257,nuclear hormone receptor binding,6
2671,GO:0042043,neurexin family protein binding,6
5466,GO:0004725,protein tyrosine phosphatase activity,6
2636,GO:0005911,cell-cell junction,6
2660,GO:0007269,neurotransmitter secretion,6
1473,GO:0043065,positive regulation of apoptotic process,6
1055,GO:0030018,Z disc,6
4466,GO:1902711,GABA-A receptor complex,6
3016,GO:0007613,memory,6
3209,GO:0016477,cell migration,6
1266,GO:0043194,axon initial segment,6
2915,GO:0050890,cognition,6
4152,GO:0018024,histone-lysine N-methyltransferase activity,6
3123,GO:0016407,acetyltransferase activity,6
3160,GO:0048511,rhythmic process,6
3050,GO:0001102,RNA polymerase II activating transcription factor binding,6
3044,GO:0001085,RNA polymerase II transcription factor binding,6
3955,GO:2000310,regulation of NMDA receptor activity,6
3397,GO:0030054,cell junction,6
2768,GO:0003729,mRNA binding,6
2740,GO:0060999,positive regulation of dendritic spine development,6
1044,GO:0019899,enzyme binding,6
3314,GO:0043565,sequence-specific DNA binding,6
1296,GO:0001701,in utero embryonic development,6
2348,GO:0050321,tau-protein kinase activity,6
5421,GO:0006470,protein dephosphorylation,6
283,GO:0005615,extracellular space,6
5220,GO:0097104,postsynaptic membrane assembly,6
2001,GO:0006306,DNA methylation,6
2096,GO:0001764,neuron migration,6
3590,GO:0004842,ubiquitin-protein transferase activity,6
3514,GO:0060070,canonical Wnt signaling pathway,6
3848,GO:0008076,voltage-gated potassium channel complex,6
879,GO:0055114,oxidation-reduction process,6
1965,GO:0003678,DNA helicase activity,6
2180,GO:0042593,glucose homeostasis,6
2370,GO:0005245,voltage-gated calcium channel activity,6
3652,GO:0061630,ubiquitin protein ligase activity,6
5055,GO:0001525,angiogenesis,6
1936,GO:0006351,"transcription, DNA-templated",6
1942,GO:0009887,animal organ morphogenesis,6
3879,GO:0035255,ionotropic glutamate receptor binding,6
3744,GO:0045727,positive regulation of translation,6
561,GO:0010629,negative regulation of gene expression,6
1870,GO:0046975,histone methyltransferase activity (H3-K36 specific),6
3497,GO:0050808,synapse organization,6
2066,GO:0032508,DNA duplex unwinding,6
2258,GO:0070374,positive regulation of ERK1 and ERK2 cascade,6
1746,GO:0005694,chromosome,6
4035,GO:0005874,microtubule,5
2317,GO:0035556,intracellular signal transduction,5
6124,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",5
3597,GO:0006511,ubiquitin-dependent protein catabolic process,5
1223,GO:0007409,axonogenesis,5
3328,GO:0000209,protein polyubiquitination,5
4006,GO:0007568,aging,5
3783,GO:0001843,neural tube closure,5
2859,GO:0016887,ATPase activity,5
4698,GO:0007050,cell cycle arrest,5
4706,GO:0007265,Ras protein signal transduction,5
5096,GO:0005096,GTPase activator activity,5
4182,GO:0006915,apoptotic process,5
2355,GO:0051301,cell division,5
2000,GO:0006281,DNA repair,5
3189,GO:0003779,actin binding,5
5227,GO:0097105,presynaptic membrane assembly,5
4222,GO:0045652,regulation of megakaryocyte differentiation,5
5674,GO:0051897,positive regulation of protein kinase B signaling,5
1030,GO:0016323,basolateral plasma membrane,5
1956,GO:0000792,heterochromatin,5
1893,GO:0006886,intracellular protein transport,5
4967,GO:0019904,protein domain specific binding,5
2667,GO:0016363,nuclear matrix,5
3127,GO:0016573,histone acetylation,5
3853,GO:0008328,ionotropic glutamate receptor complex,5
2646,GO:0005925,focal adhesion,5
1450,GO:0007186,G protein-coupled receptor signaling pathway,5
891,GO:0005764,lysosome,5
1439,GO:0060325,face morphogenesis,5
3927,GO:0060997,dendritic spine morphogenesis,5
995,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,5
2558,GO:0010494,cytoplasmic stress granule,5
5457,GO:0004722,protein serine/threonine phosphatase activity,5
4855,GO:0021766,hippocampus development,5
1006,GO:0007010,cytoskeleton organization,5
4329,GO:0098793,presynapse,5
3919,GO:0050885,neuromuscular process controlling balance,5
3454,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,5
3570,GO:1990907,beta-catenin-TCF complex,5
3140,GO:0031490,chromatin DNA binding,5
2791,GO:0000777,condensed chromosome kinetochore,5
5780,GO:0035725,sodium ion transmembrane transport,5
4364,GO:0045666,positive regulation of neuron differentiation,5
3988,GO:0031965,nuclear membrane,5
5416,GO:0004721,phosphoprotein phosphatase activity,5
2734,GO:0051726,regulation of cell cycle,5
3174,GO:0065003,protein-containing complex assembly,4
3133,GO:0019216,regulation of lipid metabolic process,4
1021,GO:0010881,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,4
4289,GO:0036464,cytoplasmic ribonucleoprotein granule,4
3690,GO:0006413,translational initiation,4
3663,GO:0072686,mitotic spindle,4
3704,GO:0030154,cell differentiation,4
4315,GO:0046982,protein heterodimerization activity,4
3178,GO:1904837,beta-catenin-TCF complex assembly,4
998,GO:0006897,endocytosis,4
3336,GO:0000922,spindle pole,4
4258,GO:0005844,polysome,4
894,GO:0005769,early endosome,4
3944,GO:0097109,neuroligin family protein binding,4
896,GO:0005856,cytoskeleton,4
3945,GO:0097113,AMPA glutamate receptor clustering,4
5755,GO:0001518,voltage-gated sodium channel complex,4
5837,GO:0030160,synaptic receptor adaptor activity,4
838,GO:0043484,regulation of RNA splicing,4
822,GO:0008380,RNA splicing,4
3580,GO:0000139,Golgi membrane,4
818,GO:0007611,learning or memory,4
3382,GO:0016525,negative regulation of angiogenesis,4
3909,GO:0048169,regulation of long-term neuronal synaptic plasticity,4
3462,GO:0043410,positive regulation of MAPK cascade,4
5895,GO:0030512,negative regulation of transforming growth factor beta receptor signaling pathway,4
844,GO:0004777,succinate-semialdehyde dehydrogenase (NAD+) activity,4
5772,GO:0006814,sodium ion transport,4
4218,GO:0045444,fat cell differentiation,4
1037,GO:0016324,apical plasma membrane,4
3218,GO:0030036,actin cytoskeleton organization,4
3763,GO:0090263,positive regulation of canonical Wnt signaling pathway,4
4230,GO:0050681,androgen receptor binding,4
4247,GO:0001934,positive regulation of protein phosphorylation,4
4196,GO:0016579,protein deubiquitination,4
4126,GO:0018108,peptidyl-tyrosine phosphorylation,4
3294,GO:0007059,chromosome segregation,4
5693,GO:0014068,positive regulation of phosphatidylinositol 3-kinase signaling,4
1064,GO:0030507,spectrin binding,4
3256,GO:0051015,actin filament binding,4
5553,GO:0097107,postsynaptic density assembly,4
4334,GO:0098794,postsynapse,4
4626,GO:0000776,kinetochore,4
1290,GO:0090314,positive regulation of protein targeting to membrane,4
5521,GO:0048854,brain morphogenesis,4
1925,GO:0048013,ephrin receptor signaling pathway,4
4653,GO:0032922,circadian regulation of gene expression,4
5535,GO:0051898,negative regulation of protein kinase B signaling,4
2464,GO:0050796,regulation of insulin secretion,4
4992,GO:0000226,microtubule cytoskeleton organization,4
2818,GO:0007517,muscle organ development,4
5004,GO:0016358,dendrite development,4
4730,GO:0098696,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane,4
4620,GO:0000398,"mRNA splicing, via spliceosome",4
5394,GO:0017053,transcription repressor complex,4
5391,GO:0016580,Sin3 complex,4
638,GO:0051965,positive regulation of synapse assembly,4
5084,GO:0048812,neuron projection morphogenesis,4
4590,GO:0048167,regulation of synaptic plasticity,4
2375,GO:0005516,calmodulin binding,4
5041,GO:0008542,visual learning,4
2883,GO:0007605,sensory perception of sound,4
1897,GO:0016192,vesicle-mediated transport,4
4828,GO:0051213,dioxygenase activity,4
1507,GO:0016514,SWI/SNF complex,4
6061,GO:0033596,TSC1-TSC2 complex,4
2692,GO:0098685,Schaffer collateral - CA1 synapse,4
2518,GO:0000932,P-body,4
1881,GO:0051568,histone H3-K4 methylation,4
4905,GO:0042799,histone methyltransferase activity (H4-K20 specific),4
4848,GO:0035097,histone methyltransferase complex,4
2711,GO:0032839,dendrite cytoplasm,4
4767,GO:0051013,microtubule severing,4
2479,GO:0070588,calcium ion transmembrane transport,4
629,GO:0048487,beta-tubulin binding,4
2798,GO:0005819,spindle,4
2727,GO:0046777,protein autophosphorylation,4
2491,GO:0098839,postsynaptic density membrane,4
4778,GO:0005251,delayed rectifier potassium channel activity,4
5275,GO:0004879,nuclear receptor activity,4
1261,GO:0033268,node of Ranvier,4
2949,GO:0016055,Wnt signaling pathway,4
4409,GO:0042297,vocal learning,4
2174,GO:0016301,kinase activity,4
3053,GO:0002223,stimulatory C-type lectin receptor signaling pathway,4
2267,GO:0097110,scaffold protein binding,4
4373,GO:0010595,positive regulation of endothelial cell migration,4
2998,GO:0090090,negative regulation of canonical Wnt signaling pathway,4
1257,GO:0019228,neuronal action potential,4
2232,GO:0005509,calcium ion binding,4
4427,GO:0022851,GABA-gated chloride ion channel activity,4
2316,GO:0030182,neuron differentiation,4
5234,GO:0097119,postsynaptic density protein 95 clustering,4
2930,GO:1990841,promoter-specific chromatin binding,4
4552,GO:0019003,GDP binding,4
4571,GO:0004972,NMDA glutamate receptor activity,4
3031,GO:0120162,positive regulation of cold-induced thermogenesis,4
3103,GO:0006473,protein acetylation,4
2935,GO:0002039,p53 binding,4
5809,GO:0043014,alpha-tubulin binding,3
5243,GO:0099055,integral component of postsynaptic membrane,3
4950,GO:0036149,phosphatidylinositol acyl-chain remodeling,3
4958,GO:0090207,regulation of triglyceride metabolic process,3
5270,GO:2000969,positive regulation of AMPA receptor activity,3
4942,GO:0006661,phosphatidylinositol biosynthetic process,3
5452,GO:0001933,negative regulation of protein phosphorylation,3
868,GO:0009450,gamma-aminobutyric acid catabolic process,3
5298,GO:0046965,retinoid X receptor binding,3
5761,GO:0005244,voltage-gated ion channel activity,3
4931,GO:0042752,regulation of circadian rhythm,3
3871,GO:0032281,AMPA glutamate receptor complex,3
4944,GO:0008374,O-acyltransferase activity,3
5267,GO:0061002,negative regulation of dendritic spine morphogenesis,3
992,GO:0006874,cellular calcium ion homeostasis,3
5249,GO:2000311,regulation of AMPA receptor activity,3
3740,GO:0043312,neutrophil degranulation,3
5330,GO:0060179,male mating behavior,3
5342,GO:0005635,nuclear envelope,3
3770,GO:1901224,positive regulation of NIK/NF-kappaB signaling,3
5036,GO:0046966,thyroid hormone receptor binding,3
5410,GO:0047223,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity",3
3789,GO:0006366,transcription by RNA polymerase II,3
5230,GO:0097116,gephyrin clustering involved in postsynaptic density assembly,3
5030,GO:0030374,nuclear receptor coactivator activity,3
5027,GO:0016592,mediator complex,3
5154,GO:1900271,regulation of long-term synaptic potentiation,3
5782,GO:0086010,membrane depolarization during action potential,3
5121,GO:0030336,negative regulation of cell migration,3
4912,GO:0030274,LIM domain binding,3
5399,GO:0006493,protein O-linked glycosylation,3
5011,GO:0043198,dendritic shaft,3
4997,GO:0008306,associative learning,3
5794,GO:0031410,cytoplasmic vesicle,3
3721,GO:0032728,positive regulation of interferon-beta production,3
3713,GO:0031333,negative regulation of protein-containing complex assembly,3
5429,GO:0000502,proteasome complex,3
5190,GO:0002087,regulation of respiratory gaseous exchange by nervous system process,3
5008,GO:0032435,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,3
3818,GO:0047598,7-dehydrocholesterol reductase activity,3
5789,GO:0042552,myelination,3
4773,GO:0005249,voltage-gated potassium channel activity,3
4184,GO:0007519,skeletal muscle tissue development,3
4190,GO:0010976,positive regulation of neuron projection development,3
4544,GO:0007049,cell cycle,3
4541,GO:0005765,lysosomal membrane,3
4197,GO:0016746,"transferase activity, transferring acyl groups",3
642,GO:0090575,RNA polymerase II transcription regulator complex,3
4499,GO:0004971,AMPA glutamate receptor activity,3
4495,GO:0001540,amyloid-beta binding,3
4483,GO:0008344,adult locomotory behavior,3
4612,GO:0008289,lipid binding,3
5541,GO:0060292,long-term synaptic depression,3
4116,GO:0004713,protein tyrosine kinase activity,3
633,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,3
4134,GO:0043621,protein self-association,3
4144,GO:0016571,histone methylation,3
4581,GO:0017146,NMDA selective glutamate receptor complex,3
4156,GO:0045995,regulation of embryonic development,3
4479,GO:0005768,endosome,3
5637,GO:0004726,non-membrane spanning protein tyrosine phosphatase activity,3
4282,GO:0034046,poly(G) binding,3
4437,GO:0042391,regulation of membrane potential,3
4434,GO:0034220,ion transmembrane transport,3
4421,GO:0005254,chloride channel activity,3
4418,GO:0004890,GABA-A receptor activity,3
4298,GO:0043022,ribosome binding,3
4301,GO:0043488,regulation of mRNA stability,3
5610,GO:0051879,Hsp90 protein binding,3
4476,GO:0048009,insulin-like growth factor receptor signaling pathway,3
4252,GO:0003730,mRNA 3'-UTR binding,3
4472,GO:1904862,inhibitory synapse assembly,3
4268,GO:0007215,glutamate receptor signaling pathway,3
4272,GO:0010369,chromocenter,3
4454,GO:0098982,GABA-ergic synapse,3
4112,GO:1904115,axon cytoplasm,3
4796,GO:0071333,cellular response to glucose stimulus,3
3929,GO:0061098,positive regulation of protein tyrosine kinase activity,3
5494,GO:0035335,peptidyl-tyrosine dephosphorylation,3
4781,GO:0006904,vesicle docking involved in exocytosis,3
3949,GO:0097120,receptor localization to synapse,3
4763,GO:0008568,microtubule-severing ATPase activity,3
626,GO:0045773,positive regulation of axon extension,3
3922,GO:0060076,excitatory synapse,3
4889,GO:1902036,regulation of hematopoietic stem cell differentiation,3
4882,GO:0070577,lysine-acetylated histone binding,3
5477,GO:0014067,negative regulation of phosphatidylinositol 3-kinase signaling,3
4862,GO:0044666,MLL3/4 complex,3
5481,GO:0016314,"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity",3
4840,GO:0034647,histone demethylase activity (H3-trimethyl-K4 specific),3
3973,GO:0006998,nuclear envelope organization,3
5512,GO:0046856,phosphatidylinositol dephosphorylation,3
795,GO:0002151,G-quadruplex RNA binding,3
4677,GO:1902275,regulation of chromatin organization,3
4048,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,3
4061,GO:0007626,locomotory behavior,3
4076,GO:1990782,protein tyrosine kinase binding,3
4080,GO:0005868,cytoplasmic dynein complex,3
4094,GO:0031122,cytoplasmic microtubule organization,3
797,GO:0006397,mRNA processing,3
4695,GO:0001889,liver development,3
3991,GO:0043666,regulation of phosphoprotein phosphatase activity,3
3996,GO:0000278,mitotic cell cycle,3
4011,GO:0010288,response to lead ion,3
4016,GO:0042220,response to cocaine,3
4025,GO:0071456,cellular response to hypoxia,3
1007,GO:0008093,cytoskeletal anchor activity,3
2774,GO:0036002,pre-mRNA binding,3
1742,GO:0001501,skeletal system development,3
3360,GO:0005938,cell cortex,3
1764,GO:0043409,negative regulation of MAPK cascade,3
1867,GO:0046974,histone methyltransferase activity (H3-K9 specific),3
5919,GO:0051453,regulation of intracellular pH,3
1876,GO:0051567,histone H3-K9 methylation,3
1883,GO:0061038,uterus morphogenesis,3
3386,GO:0019900,kinase binding,3
3358,GO:0005912,adherens junction,3
3330,GO:0000791,euchromatin,3
1443,GO:0005085,guanyl-nucleotide exchange factor activity,3
2688,GO:0060170,ciliary membrane,3
1475,GO:0051056,regulation of small GTPase mediated signal transduction,3
2610,GO:0031252,cell leading edge,3
1565,GO:0071565,nBAF complex,3
1722,GO:0042127,regulation of cell population proliferation,3
3389,GO:0019903,protein phosphatase binding,3
1906,GO:0030666,endocytic vesicle membrane,3
3450,GO:0042493,response to drug,3
2452,GO:0043010,camera-type eye development,3
2448,GO:0035115,embryonic forelimb morphogenesis,3
6097,GO:0045766,positive regulation of angiogenesis,3
2469,GO:0061337,cardiac conduction,3
2413,GO:0008331,high voltage-gated calcium channel activity,3
3482,GO:0046332,SMAD binding,3
2399,GO:0005891,voltage-gated calcium channel complex,3
5899,GO:0030514,negative regulation of BMP signaling pathway,3
3413,GO:0031016,pancreas development,3
3392,GO:0021819,layer formation in cerebral cortex,3
3404,GO:0030331,estrogen receptor binding,3
2475,GO:0070509,calcium ion import,3
3428,GO:0032993,protein-DNA complex,3
3290,GO:0006349,regulation of gene expression by genetic imprinting,3
1252,GO:0016328,lateral plasma membrane,3
1085,GO:0042383,sarcolemma,3
5967,GO:0017075,syntaxin-1 binding,3
2924,GO:0060384,innervation,3
2918,GO:0060041,retina development in camera-type eye,3
3143,GO:0031648,protein destabilization,3
3146,GO:0032481,positive regulation of type I interferon production,3
3149,GO:0034644,cellular response to UV,3
3166,GO:0061418,regulation of transcription from RNA polymerase II promoter in response to hypoxia,3
3106,GO:0007219,Notch signaling pathway,3
2997,GO:0071339,MLL1 complex,3
1179,GO:0000281,mitotic cytokinesis,3
1170,GO:0086091,regulation of heart rate by cardiac conduction,3
3038,GO:0000123,histone acetyltransferase complex,3
2992,GO:0060134,prepulse inhibition,3
1205,GO:0005923,bicellular tight junction,3
3175,GO:1900034,regulation of cellular response to heat,3
2780,GO:0090394,negative regulation of excitatory postsynaptic potential,3
3247,GO:0048873,homeostasis of number of cells within a tissue,3
1063,GO:0030315,T-tubule,3
3278,GO:0034063,stress granule assembly,3
3243,GO:0045087,innate immune response,3
3281,GO:0070937,CRD-mediated mRNA stability complex,3
3285,GO:0000775,"chromosome, centromeric region",3
3193,GO:0005884,actin filament,3
2875,GO:0003007,heart morphogenesis,3
2871,GO:1901796,regulation of signal transduction by p53 class mediator,3
1080,GO:0034613,cellular protein localization,3
2864,GO:0034451,centriolar satellite,3
3223,GO:0030864,cortical actin cytoskeleton,3
2033,GO:0007283,spermatogenesis,3
3553,GO:0098609,cell-cell adhesion,3
2124,GO:0048675,axon extension,3
5819,GO:0097198,histone H3-K36 trimethylation,3
2120,GO:0031532,actin cytoskeleton reorganization,3
2301,GO:0010975,regulation of neuron projection development,3
2102,GO:0005575,cellular_component,3
3636,GO:0031625,ubiquitin protein ligase binding,3
3505,GO:0051091,positive regulation of DNA-binding transcription factor activity,3
2125,GO:0051571,positive regulation of histone H3-K4 methylation,3
5833,GO:0017124,SH3 domain binding,3
2177,GO:0016310,phosphorylation,3
3534,GO:0070369,beta-catenin-TCF7L2 complex,3
3538,GO:0070491,repressing transcription factor binding,3
3664,GO:0097193,intrinsic apoptotic signaling pathway,3
2109,GO:0015629,actin cytoskeleton,3
2105,GO:0010592,positive regulation of lamellipodium assembly,3
1025,GO:0014704,intercalated disc,3
4624,GO:0000228,nuclear chromosome,2
5236,GO:0097151,positive regulation of inhibitory postsynaptic potential,2
4592,GO:0060079,excitatory postsynaptic potential,2
2169,GO:0009083,branched-chain amino acid catabolic process,2
4603,GO:0097553,calcium ion transmembrane import into cytosol,2
4634,GO:0001649,osteoblast differentiation,2
4635,GO:0003690,double-stranded DNA binding,2
4604,GO:0098976,excitatory chemical synaptic transmission,2
5544,GO:0060736,prostate gland growth,2
2894,GO:0035116,embryonic hindlimb morphogenesis,2
4640,GO:0005697,telomerase holoenzyme complex,2
5240,GO:0098983,"symmetric, GABA-ergic, inhibitory synapse",2
5319,GO:0016922,nuclear receptor binding,2
5241,GO:0099054,presynapse assembly,2
2890,GO:0021772,olfactory bulb development,2
4622,GO:0016070,RNA metabolic process,2
636,GO:0050805,negative regulation of synaptic transmission,2
6029,GO:0001672,regulation of chromatin assembly or disassembly,2
4630,GO:0000993,RNA polymerase II complex binding,2
4631,GO:0001097,TFIIH-class transcription factor complex binding,2
5049,GO:0045931,positive regulation of mitotic cell cycle,2
2089,GO:0072711,cellular response to hydroxyurea,2
4692,GO:2000737,negative regulation of stem cell differentiation,2
6034,GO:0000151,ubiquitin ligase complex,2
6135,GO:0005776,autophagosome,2
4688,GO:1990830,cellular response to leukemia inhibitory factor,2
4682,GO:1990023,mitotic spindle midzone,2
4686,GO:1990498,mitotic spindle microtubule,2
4684,GO:1990280,RNA localization to chromatin,2
5215,GO:0089717,spanning component of membrane,2
2831,GO:0004386,helicase activity,2
6040,GO:1901315,negative regulation of histone H2A K63-linked ubiquitination,2
5516,GO:0048008,platelet-derived growth factor receptor signaling pathway,2
1425,GO:0009653,anatomical structure morphogenesis,2
2809,GO:0051315,attachment of mitotic spindle microtubules to kinetochore,2
2807,GO:0035372,protein localization to microtubule,2
2805,GO:0034501,protein localization to kinetochore,2
5508,GO:0045792,negative regulation of cell size,2
4718,GO:0046330,positive regulation of JNK cascade,2
5532,GO:0051800,"phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity",2
2196,GO:0016925,protein sumoylation,2
5528,GO:0050771,negative regulation of axonogenesis,2
4657,GO:0043021,ribonucleoprotein complex binding,2
2857,GO:0016581,NuRD complex,2
4649,GO:0032211,negative regulation of telomere maintenance via telomerase,2
4679,GO:1902425,positive regulation of attachment of mitotic spindle microtubules to kinetochore,2
4647,GO:0017130,poly(C) RNA binding,2
5250,GO:2000809,positive regulation of synaptic vesicle clustering,2
4645,GO:0017069,snRNA binding,2
4662,GO:0070934,CRD-mediated mRNA stabilization,2
4664,GO:0071013,catalytic step 2 spliceosome,2
5524,GO:0048870,cell motility,2
4668,GO:0098577,inactive sex chromosome,2
4671,GO:0099122,RNA polymerase II C-terminal domain binding,2
4673,GO:1901673,regulation of mitotic spindle assembly,2
1285,GO:0071709,membrane assembly,2
2903,GO:0042472,inner ear morphogenesis,2
3028,GO:0031047,gene silencing by RNA,2
3024,GO:0006977,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",2
3021,GO:0000289,nuclear-transcribed mRNA poly(A) tail shortening,2
3019,GO:0048286,lung alveolus development,2
1183,GO:0005200,structural constituent of cytoskeleton,2
4468,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,2
5302,GO:0071376,cellular response to corticotropin-releasing hormone stimulus,2
5303,GO:0071542,dopaminergic neuron differentiation,2
